County,CountywidePopulation,Unincorporated Population,% of Total,Incorporated Population,% of Total,Year
Escambia,318560,262157,0.822943872,56403,0.177056128,2018
Flagler,107511,14852,0.138144004,92659,0.861855996,2018
Franklin,12009,7000,0.582896161,5009,0.417103839,2018
Gadsden,47828,29226,0.611064648,18602,0.388935352,2018
Gilchrist,17424,14539,0.834423783,2885,0.165576217,2018
Glades,13002,11262,0.866174435,1740,0.133825565,2018
Gulf,16499,10747,0.65137281,5752,0.34862719,2018
Hamilton,14621,10158,0.694754121,4463,0.305245879,2018
Hardee,27296,17498,0.641046307,9798,0.358953693,2018
Hendry,39586,26618,0.672409438,12968,0.327590562,2018
Hernando,185604,177185,0.954639986,8419,0.045360014,2018
Highlands,102525,77619,0.757073884,24906,0.242926116,2018
Hillsborough,1408864,964883,0.684865963,443981,0.315134037,2018
Holmes,20133,16044,0.796900611,4089,0.203099389,2018
Indian River,151825,100719,0.66338877,51106,0.33661123,2018
Jackson,50435,32903,0.652384257,17532,0.347615743,2018
Jefferson,14733,12321,0.836285889,2412,0.163714111,2018
Lafayette,8501,7293,0.857899071,1208,0.142100929,2018
Lake,342917,159945,0.46642482,182972,0.53357518,2018
Lee,713903,355737,0.498298788,358166,0.501701212,2018
Leon,292332,99951,0.341909199,192381,0.658090801,2018
Levy,41054,31621,0.770229454,9433,0.229770546,2018
Liberty,8915,7965,0.893438026,950,0.106561974,2018
Madison,19473,15257,0.783495096,4216,0.216504904,2018
Manatee,377826,299207,0.791917443,78619,0.208082557,2018
Marion,353898,285899,0.807857066,67999,0.192142934,2018
Martin,155556,129357,0.831578338,26199,0.168421662,2018
Miami-Dade,2779322,1203732,0.43310275,1575590,0.56689725,2018
Monroe,73940,34266,0.463429808,39674,0.536570192,2018
Nassau,82748,65692,0.793880215,17056,0.206119785,2018
Okaloosa,198152,113497,0.572777464,84655,0.427222536,2018
Okeechobee,41120,35559,0.864761673,5561,0.135238327,2018
Orange,1349597,855307,0.633749927,494290,0.366250073,2018
Osceola,352496,233608,0.662725251,118888,0.337274749,2018
Palm Beach,1433417,624941,0.4359799,808476,0.5640201,2018
Pasco,515077,470721,0.91388472,44356,0.08611528,2018
Pinellas,970532,276490,0.284884991,694042,0.715115009,2018
Polk,673028,413182,0.613915023,259846,0.386084977,2018
Putnam,72981,57857,0.792767981,15124,0.207232019,2018
Santa Rosa,174887,158331,0.905333158,16556,0.094666842,2018
Sarasota,417442,263636,0.63155121,153806,0.36844879,2018
Seminole,463560,220399,0.475448701,243161,0.524551299,2018
St. Johns,238742,218006,0.913144734,20736,0.086855266,2018
St. Lucie,302432,72629,0.240149852,229803,0.759850148,2018
Sumter,124935,110285,0.882739024,14650,0.117260976,2018
Suwannee,44879,37353,0.832304641,7526,0.167695359,2018
Taylor,22283,15258,0.684737244,7025,0.315262756,2018
Union,15867,13461,0.84836453,2406,0.15163547,2018
Volusia,531062,116678,0.219706927,414384,0.780293073,2018
Wakulla,31943,31193,0.976520677,750,0.023479323,2018
Walton,67656,57720,0.853139411,9936,0.146860589,2018
Washington,25129,19966,0.794540173,5163,0.205459827,2018
Alachua,260003,103810,0.399264624,156193,0.600735376,2017
Baker,27191,20211,0.743297415,6980,0.256702585,2017
Bay,178820,77279,0.432160832,101541,0.567839168,2017
Bradford,27642,20598,0.745170393,7044,0.254829607,2017
Brevard,575211,215142,0.37402275,360069,0.62597725,2017
Broward,1873970,15006,0.008007599,1858964,0.991992401,2017
Calhoun,15001,11943,0.796146924,3058,0.203853076,2017
Charlotte,172720,153882,0.890933302,18838,0.109066698,2017
Citrus,143801,133395,0.927636108,10406,0.072363892,2017
Clay,208549,190210,0.912063832,18339,0.087936168,2017
Collier,357470,319796,0.894609338,37674,0.105390662,2017
Columbia,68943,56121,0.814020278,12822,0.185979722,2017
DeSoto,35621,27944,0.784481065,7677,0.215518935,2017
Dixie,16726,14851,0.887899079,1875,0.112100921,2017
Duval,936811,0,0,936811,1,2017
Escambia,313381,257774,0.822557845,55607,0.177442155,2017
Flagler,105157,14463,0.137537206,90694,0.862462794,2017
Franklin,12161,6999,0.575528328,5162,0.424471672,2017
Gadsden,48263,29552,0.612311709,18711,0.387688291,2017
Gilchrist,17224,14403,0.836216907,2821,0.163783093,2017
Glades,13087,11340,0.866508749,1747,0.133491251,2017
Gulf,16297,10690,0.655948948,5607,0.344051052,2017
Hamilton,14663,9983,0.680829298,4680,0.319170702,2017
Hardee,27426,17566,0.640487129,9860,0.359512871,2017
Hendry,39057,26447,0.677138541,12610,0.322861459,2017
Hernando,181882,173799,0.955559099,8083,0.044440901,2017
Highlands,102138,77548,0.759247293,24590,0.240752707,2017
Hillsborough,1379302,941536,0.68261773,437766,0.31738227,2017
Holmes,20210,16110,0.797130134,4100,0.202869866,2017
Indian River,148962,98644,0.662209154,50318,0.337790846,2017
Jackson,50418,32764,0.649847277,17654,0.350152723,2017
Jefferson,14611,12186,0.834029156,2425,0.165970844,2017
Lafayette,8479,7253,0.855407477,1226,0.144592523,2017
Lake,331724,158877,0.478943338,172847,0.521056662,2017
Lee,698468,350230,0.501425978,348238,0.498574022,2017
Leon,287899,98274,0.341348876,189625,0.658651124,2017
Levy,41015,31558,0.76942582,9457,0.23057418,2017
Liberty,8719,7765,0.890583783,954,0.109416217,2017
Madison,19377,15249,0.786963926,4128,0.213036074,2017
Manatee,368782,291864,0.791426913,76918,0.208573087,2017
Marion,349267,281812,0.806866953,67455,0.193133047,2017
Martin,153022,133852,0.874723896,19170,0.125276104,2017
Miami-Dade,2743095,1191589,0.434395819,1551506,0.565604181,2017
Monroe,76889,36202,0.47083458,40687,0.52916542,2017
Nassau,80456,63661,0.791252362,16795,0.208747638,2017
Okaloosa,195488,111495,0.570341914,83993,0.429658086,2017
Okeechobee,41140,35574,0.864705882,5566,0.135294118,2017
Orange,1313880,834353,0.635029835,479527,0.364970165,2017
Osceola,337614,222558,0.659208445,115056,0.340791555,2017
Palm Beach,1414144,618446,0.437328872,795698,0.562671128,2017
Pasco,505709,461727,0.913029034,43982,0.086970966,2017
Pinellas,962003,276511,0.287432576,685492,0.712567424,2017
Polk,661645,407963,0.616588956,253682,0.383411044,2017
Putnam,73176,58025,0.792951241,15151,0.207048759,2017
Santa Rosa,170835,154334,0.903409723,16501,0.096590277,2017
Sarasota,407260,258594,0.634960468,148666,0.365039532,2017
Seminole,454757,217839,0.479022863,236918,0.520977137,2017
St. Johns,229715,208576,0.907977276,21139,0.092022724,2017
St. Lucie,297634,72298,0.242909076,225336,0.757090924,2017
Sumter,120700,107158,0.887804474,13542,0.112195526,2017
Suwannee,44690,37139,0.831036026,7551,0.168963974,2017
Taylor,22295,15341,0.6880915,6954,0.3119085,2017
Union,15947,13549,0.849626889,2398,0.150373111,2017
Volusia,523405,116705,0.22297265,406700,0.77702735,2017
Wakulla,31909,31165,0.976683694,744,0.023316306,2017
Walton,65301,55989,0.857398815,9312,0.142601185,2017
Washington,24985,19869,0.795237142,5116,0.204762858,2017
Alachua,257062,102298,0.397950689,154764,0.602049311,2016
Baker,26965,20071,0.744335249,6894,0.255664751,2016
Bay,176016,75806,0.430676757,100210,0.569323243,2016
Bradford,27440,20398,0.743367347,7042,0.256632653,2016
Brevard,568919,212740,0.373937239,356179,0.626062761,2016
Broward,1854513,14759,0.007958424,1839754,0.992041576,2016
Calhoun,14580,11553,0.792386831,3027,0.207613169,2016
Charlotte,170450,152082,0.892238193,18368,0.107761807,2016
Citrus,143054,132660,0.927342123,10394,0.072657877,2016
Clay,205321,187142,0.911460591,18179,0.088539409,2016
Collier,350202,313104,0.894066853,37098,0.105933147,2016
Columbia,68566,55891,0.815141615,12675,0.184858385,2016
DeSoto,35141,27513,0.782931618,7628,0.217068382,2016
Dixie,16773,14900,0.888332439,1873,0.111667561,2016
Duval,923647,0,0,923647,1,2016
Escambia,309986,254757,0.821833889,55229,0.178166111,2016
Flagler,103095,14035,0.136136573,89060,0.863863427,2016
Franklin,11916,6495,0.545065458,5421,0.454934542,2016
Gadsden,48486,29849,0.615621004,18637,0.384378996,2016
Gilchrist,16848,14023,0.832324311,2825,0.167675689,2016
Glades,13047,11375,0.871847934,1672,0.128152066,2016
Gulf,16628,10956,0.658888622,5672,0.341111378,2016
Hamilton,14665,9963,0.679372656,4702,0.320627344,2016
Hardee,27637,17803,0.644172667,9834,0.355827333,2016
Hendry,38370,26046,0.678811572,12324,0.321188428,2016
Hernando,179503,171492,0.955371219,8011,0.044628781,2016
Highlands,101531,77007,0.758458008,24524,0.241541992,2016
Hillsborough,1352797,924013,0.683038919,428784,0.316961081,2016
Holmes,20003,15916,0.795680648,4087,0.204319352,2016
Indian River,146410,96993,0.662475241,49417,0.337524759,2016
Jackson,50345,32702,0.649558049,17643,0.350441951,2016
Jefferson,14498,12055,0.831493999,2443,0.168506001,2016
Lafayette,8621,7420,0.860689015,1201,0.139310985,2016
Lake,323985,159296,0.491677084,164689,0.508322916,2016
Lee,680539,342137,0.502744148,338402,0.497255852,2016
Leon,287671,97996,0.340653038,189675,0.659346962,2016
Levy,40553,31255,0.770719799,9298,0.229280201,2016
Liberty,8736,7819,0.895032051,917,0.104967949,2016
Madison,19238,15073,0.783501403,4165,0.216498597,2016
Manatee,357591,281668,0.787682017,75923,0.212317983,2016
Marion,345749,278439,0.805321201,67310,0.194678799,2016
Martin,150870,131784,0.873493736,19086,0.126506264,2016
Miami-Dade,2700794,1176731,0.435698169,1524063,0.564301831,2016
Monroe,76047,35315,0.464383868,40732,0.535616132,2016
Nassau,77841,61462,0.789583895,16379,0.210416105,2016
Okaloosa,192925,110335,0.571906181,82590,0.428093819,2016
Okeechobee,40806,35254,0.863941577,5552,0.136058423,2016
Orange,1280387,813421,0.635293079,466966,0.364706921,2016
Osceola,322862,211463,0.65496404,111399,0.34503596,2016
Palm Beach,1391741,611651,0.439486226,780090,0.560513774,2016
Pasco,495868,452857,0.91326119,43011,0.08673881,2016
Pinellas,954569,275966,0.289100107,678603,0.710899893,2016
Polk,646989,399263,0.61710941,247726,0.38289059,2016
Putnam,72972,57963,0.794318369,15009,0.205681631,2016
St. Johns,220257,199337,0.905020045,20920,0.094979955,2016
St. Lucie,292826,71639,0.244646992,221187,0.755353008,2016
Santa Rosa,167009,150615,0.901837626,16394,0.098162374,2016
Sarasota,399538,254863,0.637894268,144675,0.362105732,2016
Seminole,449124,215885,0.480680169,233239,0.519319831,2016
Sumter,118577,105493,0.889658197,13084,0.110341803,2016
Suwannee,44349,36831,0.830480958,7518,0.169519042,2016
Taylor,22478,15504,0.68974108,6974,0.31025892,2016
Union,15887,13452,0.846730031,2435,0.153269969,2016
Volusia,517411,115969,0.224133233,401442,0.775866767,2016
Wakulla,31599,30848,0.976233425,751,0.023766575,2016
Walton,62943,53856,0.855631285,9087,0.144368715,2016
Washington,24888,19768,0.794278367,5120,0.205721633,2016
Alachua,254893,101621,0.398681015,153272,0.601318985,2015
Baker,27017,20152,0.745900729,6865,0.254099271,2015
Bay,173310,76398,0.440817033,96912,0.559182967,2015
Bradford,27310,20358,0.74544123,6952,0.25455877,2015
Brevard,561714,210276,0.374347088,351438,0.625652912,2015
Broward,1827367,14515,0.007943123,1812852,0.992056877,2015
Calhoun,14549,11513,0.791325864,3036,0.208674136,2015
Charlotte,167141,149466,0.894250962,17675,0.105749038,2015
Citrus,141501,131162,0.926933379,10339,0.073066621,2015
Clay,201277,183611,0.912230409,17666,0.087769591,2015
Collier,343802,307120,0.893304867,36682,0.106695133,2015
Columbia,68163,55603,0.81573581,12560,0.18426419,2015
DeSoto,34777,27167,0.781177215,7610,0.218822785,2015
Dixie,16468,14576,0.885110517,1892,0.114889483,2015
Duval,905574,0,0,905574,1,2015
Escambia,306944,252308,0.822000104,54636,0.177999896,2015
Flagler,101353,13794,0.136098586,87559,0.863901414,2015
Franklin,11840,6773,0.572043919,5067,0.427956081,2015
Gadsden,48315,30002,0.620966574,18313,0.379033426,2015
Gilchrist,16839,13906,0.825821011,2933,0.174178989,2015
Glades,12853,11205,0.871780907,1648,0.128219093,2015
Gulf,16346,10695,0.654288511,5651,0.345711489,2015
Hamilton,14630,9913,0.677580314,4717,0.322419686,2015
Hardee,27645,17947,0.649195153,9698,0.350804847,2015
Hendry,38096,25863,0.678890172,12233,0.321109828,2015
Hernando,176819,169034,0.955971926,7785,0.044028074,2015
Highlands,100748,76662,0.760928257,24086,0.239071743,2015
Hillsborough,1325563,905007,0.682734053,420556,0.317265947,2015
Holmes,19902,15834,0.795598432,4068,0.204401568,2015
Indian River,143326,94820,0.661568731,48506,0.338431269,2015
Jackson,50458,32703,0.648123192,17755,0.351876808,2015
Jefferson,14519,12061,0.830704594,2458,0.169295406,2015
Lafayette,8664,7463,0.861380425,1201,0.138619575,2015
Lake,316569,160400,0.506682587,156169,0.493317413,2015
Lee,665845,337490,0.506859705,328355,0.493140295,2015
Leon,284443,96447,0.339073206,187996,0.660926794,2015
Levy,40448,31199,0.771336036,9249,0.228663964,2015
Liberty,8698,7740,0.889859738,958,0.110140262,2015
Madison,19200,15041,0.783385417,4159,0.216614583,2015
Manatee,349334,274792,0.786616819,74542,0.213383181,2015
Marion,341205,275382,0.807086649,65823,0.192913351,2015
Martin,150062,131047,0.873285709,19015,0.126714291,2015
Miami-Dade,2653934,1160457,0.437259178,1493477,0.562740822,2015
Monroe,74206,33926,0.45718675,40280,0.54281325,2015
Nassau,76536,60349,0.788504756,16187,0.211495244,2015
Okaloosa,191898,110280,0.574680299,81618,0.425319701,2015
Okeechobee,40052,34518,0.861829621,5534,0.138170379,2015
Orange,1252396,799985,0.638763618,452411,0.361236382,2015
Osceola,308327,200419,0.650020919,107908,0.349979081,2015
Palm Beach,1378417,606274,0.439833519,772143,0.560166481,2015
Pasco,487588,445191,0.913047491,42397,0.086952509,2015
Pinellas,944971,274411,0.290390922,670560,0.709609078,2015
Polk,633052,391371,0.618228834,241681,0.381771166,2015
Putnam,72756,57876,0.795480785,14880,0.204519215,2015
St. Johns,213566,192890,0.903186837,20676,0.096813163,2015
St. Lucie,287749,70901,0.246398771,216848,0.753601229,2015
Santa Rosa,162925,147105,0.902900107,15820,0.097099893,2015
Sarasota,392090,251065,0.640324925,141025,0.359675075,2015
Seminole,442903,213465,0.481967835,229438,0.518032165,2015
Sumter,115657,103282,0.893002585,12375,0.106997415,2015
Suwannee,44452,36912,0.830378836,7540,0.169621164,2015
Taylor,22824,15808,0.692604276,7016,0.307395724,2015
Union,15918,13449,0.844892574,2469,0.155107426,2015
Volusia,510494,115656,0.226557021,394838,0.773442979,2015
Wakulla,31283,30543,0.97634498,740,0.02365502,2015
Walton,60687,51969,0.856344851,8718,0.143655149,2015
Washington,24975,19888,0.796316316,5087,0.203683684,2015
Alachua,250730,100380,0.400350975,150350,0.599649025,2014
Baker,26991,20188,0.747953021,6803,0.252046979,2014
Bay,170781,74720,0.437519396,96061,0.562480604,2014
Bradford,27323,20259,0.741463236,7064,0.258536764,2014
Brevard,552427,207313,0.375276733,345114,0.624723267,2014
Broward,1803903,14403,0.007984354,1789500,0.992015646,2014
Calhoun,14592,11528,0.79002193,3064,0.20997807,2014
Charlotte,164467,146980,0.893674719,17487,0.106325281,2014
Citrus,140798,130517,0.926980497,10281,0.073019503,2014
Clay,197403,179853,0.911095576,17550,0.088904424,2014
Collier,336783,300237,0.891485022,36546,0.108514978,2014
Columbia,67826,55263,0.814776045,12563,0.185223955,2014
DeSoto,34426,26947,0.782751409,7479,0.217248591,2014
Dixie,16356,14475,0.884996332,1881,0.115003668,2014
Duval,890066,0,0,890066,1,2014
Escambia,303907,249515,0.821024195,54392,0.178975805,2014
Flagler,99121,13484,0.136035754,85637,0.863964246,2014
Franklin,11794,6680,0.56638969,5114,0.43361031,2014
Gadsden,48096,29878,0.621215902,18218,0.378784098,2014
Gilchrist,16853,14071,0.834925533,2782,0.165074467,2014
Glades,12852,11187,0.870448179,1665,0.129551821,2014
Gulf,16543,10888,0.658163574,5655,0.341836426,2014
Hamilton,14351,9645,0.672078601,4706,0.327921399,2014
Hardee,27712,17899,0.645893476,9813,0.354106524,2014
Hendry,37895,25767,0.679957778,12128,0.320042222,2014
Hernando,174955,167263,0.956034409,7692,0.043965591,2014
Highlands,99818,77264,0.774048769,22554,0.225951231,2014
Hillsborough,1301887,887882,0.68199621,414005,0.31800379,2014
Holmes,20025,15935,0.795755306,4090,0.204244694,2014
Indian River,140955,93155,0.66088468,47800,0.33911532,2014
Jackson,50231,32258,0.642193068,17973,0.357806932,2014
Jefferson,14597,12116,0.830033569,2481,0.169966431,2014
Lafayette,8696,7497,0.862120515,1199,0.137879485,2014
Lake,309736,157950,0.509950409,151786,0.490049591,2014
Lee,653485,361890,0.553784708,291595,0.446215292,2014
Leon,281292,95508,0.339533296,185784,0.660466704,2014
Levy,40473,31301,0.773379784,9172,0.226620216,2014
Liberty,8668,7710,0.889478542,958,0.110521458,2014
Madison,19303,15107,0.782624463,4196,0.217375537,2014
Manatee,339545,266699,0.785459954,72846,0.214540046,2014
Marion,337455,272607,0.807832155,64848,0.192167845,2014
Martin,148585,129704,0.872927954,18881,0.127072046,2014
Miami-Dade,2613692,1146579,0.438681757,1467113,0.561318243,2014
Monroe,74044,33793,0.456390795,40251,0.543609205,2014
Nassau,75321,59212,0.786128702,16109,0.213871298,2014
Okaloosa,190666,109766,0.575697817,80900,0.424302183,2014
Okeechobee,39828,34245,0.859822236,5583,0.140177764,2014
Orange,1227995,786296,0.640308796,441699,0.359691204,2014
Osceola,295553,191514,0.647985302,104039,0.352014698,2014
Palm Beach,1360238,599993,0.441094132,760245,0.558905868,2014
Pasco,479340,437620,0.912963658,41720,0.087036342,2014
Pinellas,933258,272348,0.291824983,660910,0.708175017,2014
Polk,623174,385924,0.619287711,237250,0.380712289,2014
Putnam,72523,57706,0.795692401,14817,0.204307599,2014
St. Johns,207443,187002,0.901462088,20441,0.098537912,2014
St. Lucie,282821,70459,0.249129308,212362,0.750870692,2014
Santa Rosa,159785,144117,0.901943236,15668,0.098056764,2014
Sarasota,387140,248619,0.642194038,138521,0.357805962,2014
Seminole,437086,211635,0.48419533,225451,0.51580467,2014
Sumter,111125,98924,0.890204724,12201,0.109795276,2014
Suwannee,44168,36625,0.82922025,7543,0.17077975,2014
Taylor,22932,15863,0.691740799,7069,0.308259201,2014
Union,15647,13124,0.838755033,2523,0.161244967,2014
Volusia,503851,115057,0.228355208,388794,0.771644792,2014
Wakulla,31285,30555,0.976666134,730,0.023333866,2014
Walton,59793,51305,0.858043584,8488,0.141956416,2014
Washington,24959,19880,0.79650627,5079,0.20349373,2014
Alachua,248002,99282,0.400327417,148720,0.599672583,2013
Baker,26881,20088,0.747293627,6793,0.252706373,2013
Bay,169866,74517,0.438681078,95349,0.561318922,2013
Bradford,27217,20130,0.739611272,7087,0.260388728,2013
Brevard,548424,206365,0.376287325,342059,0.623712675,2013
Broward,1784715,14699,0.008236049,1770016,0.991763951,2013
Calhoun,14621,11554,0.790233226,3067,0.209766774,2013
Charlotte,163679,146592,0.895606645,17087,0.104393355,2013
